cid,smiles
96206,C1CCC(=CC(=O)O)CC1
96567,C1C(=NNC1=O)C(=O)NN
97353,C1=COC(=C1)C(=O)C(=O)N
97732,CCC(C)OC(=O)C(=C)C
98066,CCOC=C(C#N)C(=O)N
98145,CCC(CC)C=CC(=O)C
98249,CCNC(=O)C=CC(=O)O
98644,CC(=O)NC(=C)C(=O)OC
98723,C=CC(=O)N1CCOCC1
98887,CC(C)(C)COC(=O)C=C
99279,C=C(C(=O)O)NC(=O)CN
99621,C1CC(=O)NN=C1C(=O)O
99884,CC(=CC(=O)O)CC(=O)O
99917,CC1=CC(=O)C2C(C1=O)O2
101093,CC=CC(=O)OCCOC
101720,CC(=C)CCC=C(C)C=C
102020,C1=CSC=C1C=CC(=O)O
102085,CCCC(=O)C1=CC=CC1
102443,CC1CCC(=C(C)C)C=C1
102596,CCCCCC1=CC=CC1
102600,CC(C)(C)CC1=CC=CC1
102603,CCC1=C(CC=C1)C(=O)C
102811,CCC(COC(=O)C=C)O
102941,CC(=C)C(=O)OCC1CS1
103492,CCCC(C)OC(=O)C=C
103675,COC=CC=C(C#N)C#N
103807,CC(=O)OC=CC(=O)OC
104408,CCCOC(=O)C(=CC)C
104893,CCCC(=CCC)C(=O)O
106146,CCOC1=C(CCC1=O)C
107399,CCOC(=O)C=C(C)OC
107666,CN(C(=NN=O)N)[N+](=O)[O-]
108812,CCN1CCNC(=O)C1=O
108919,CCC(CC)C=CC(=O)O
110389,C=CC=CC=CC=CC=C
110446,CCC=CCCC=CC=C
111609,CC(C)CC=CC(=O)OC
112001,C=CC(=O)OCC(CO)O
112172,CC1CC(=C(C1=O)OC)C
112492,CCCCC=CC=CCO
112657,CCCC=CC=CCCO
114026,CC1=CC(=NC(C1)(C)C)C
114436,CCC(C)(C1=CC=CC1)O
114438,CC(C)OCC1=CC=CC1
114507,CC1CC(C=CC1=O)(C)C
114586,C=C1[C@H](CCC1=O)C(=O)O
114914,C=C1[C@@H](CCC1=O)C(=O)O
117745,CN1CCCC1=C[N+](=O)[O-]
118027,CC1C(=O)C(=O)CC1(C)C
118658,CC(C)SC(=O)C=C(C)C
119724,CC=CC(=O)OCC(=C)C
119838,CC1=C(C(=O)C(CO1)O)O
120191,C1C=CC2=C3CC(=C21)C=C3
121015,CCOC(=O)C=CN(C)C
121598,CCOC1=CCCCC1=O
121779,CCCCC1C=CC(=O)O1
122964,CC=CCC=CC(=O)OC
123226,CN1C(=O)C(=O)N(C1=O)C
123521,CCCC(=O)C(=O)OCC
124245,C1C(C(=C(C1=O)O)O)CO
125814,COC1=CC(=O)C(=O)C=C1
126218,COC=C1C(=O)NC(=O)N1
126572,CN1C=CCC(=C1)C(=O)O
126587,CCN(CC)C(=O)C(=O)C
128159,CC=C(CC(=O)O)C(=O)O
128335,C1=CC(=O)C(C1=O)(CO)O
128843,COC(=O)CC(=O)C(=O)O
130463,CSC=CC(=O)NCCO
133922,C1=C(C(=CC=O)OC1=O)N
134609,CC(=NN=C(N)N)C(=O)O
134779,COC12C=CC1C=CC2=O
135732,CCCCOC(=O)C=[N+]=[N-]
136680,CC1(CC(=CC(=O)C1)N)C
136797,CC1=CC(=CC(=O)C)SS1
137048,C=CC=CC1=CC=CC=C1
137524,C=CC(=C)C1=CC=CC=C1
137950,C1CC23CC2(C1)C=CC=C3
137957,CC1(CC(=CC(=O)C1)O)C
138217,CC(C)C(=O)C(=O)C(C)C
138508,CCCC(=O)C(=O)CCC
138602,CC(=CC(=O)CC(=C)C)C
138806,C1C=C2C3CC(C2=C1)C=C3
138807,C1CC2CC1C3=CCC=C23
139081,C1CC2CCC1C=CC2=O
139137,CCC(C)OC(=O)C=CC
140009,C1CC1C(=O)C(=O)C2CC2
140110,CC1=CC(=C)CC(C1)(C)C
140790,CN1C(=O)C(=O)N(C1=S)C
141033,CC1=CC(=O)C(CC1)(C)C
141142,CC(C)N=CC=NC(C)C
141439,C(=NC(=O)N[N+](=O)[O-])(N)N
141558,C1CC12C=CC=CC23CC3
141918,C1=CC2C=CC(C2=O)C=C1
142080,C=C1C2CCC(C1=C)CC2
142092,C=C1C2CCC(C1=C)C=C2
142302,C=C1C2CCC(C1=C)C2=O
142329,C=C1C2C=CC=CC1C=C2
142467,CCCOC(=O)C=C(C)S
142539,CC1=CC(C(=C1C)C)(C)C
142616,C1=CC2=S=CC(=O)N2C=C1
142756,CCCCCCC(=O)C=O
142873,C=C1C2C=CC(C1=C)C=C2
142892,CC=CC(=O)N1CCCC1
143272,CCOC(=C)C(=C)OCC
143290,CC=C(C(=O)O)NC(=O)C
143369,C1=CC(=O)C(=O)C=CC1=O
143455,C=C1C2C=CC(C1=C)C2=O
143480,CC1C(=O)C=C(S1)C(C)C
143490,CC(C)(C)C1=CCSC1=O
143709,CC1=CC2CC1C(=O)C2=O
143834,CCOC(=O)NC=CC=C
143862,CCCOC(=O)C=CCC
143906,C=C1C2CC(C1=C)C(=O)C2
144076,C1CC2C=CC=CC1C2O
144151,C1CC2C3C1C2C=CC=C3
144226,C1=CC(=O)C(=O)C(=O)C=C1
144366,CC1CC(=C)C=C(C1)OC
144561,C1CC(=NN=C2CCC2)C1
144751,CC1=C(C(=C)C(=C1C)C)C
144823,C1CC2=C1C(=O)C=CC2=O
144824,C1CC2C1C(=O)C=CC2=O
144897,CC(C)(C)C(=C)C(=O)OC
145151,C1=CC23C=CC2(C=C1)C=C3
145330,CC(C)OC1=CCCC=C1
145335,CC1CC(=CC(=C1)OC)C
145972,C1=C(C(=O)[C@@H]2[C@H]([C@H]1O)O2)N
145991,CC(=C1CCCCC1)C=O
146360,CCC(=CC)C=CC(=O)N
146536,CC(=CC(=O)C)CC(=O)C
146970,CC(=O)C1=CCN(CC1)C
147349,CC=C1C(=O)N=C(N1C)N
148339,C(=[N+]=[N-])C(=O)C(=O)C=[N+]=[N-]
148501,CC(C)COC(=O)C=[N+]=[N-]
151255,C1CC(=O)NC=C1C(=O)O
151883,C(CNCCO)C(=O)N=O
152426,CC1=C(C(=O)NC1=O)C=C
152645,CC(=C)C(=O)NCC(=O)O
152650,C(CC(=O)O)C(=N)C(=O)O
153818,CC1(C(=O)C=C(O1)C=C)C
154827,CC(=C1CCC(C=C1)O)C
155055,CC1=C[C@@H]([C@@H]2[C@H](C1=O)O2)O
155477,CC1(C2CC1C(=O)C=C2)C
158529,CCCC=CC=CC(=O)O
159160,C=CC1=CC(C(C=C1)O)O
159215,CC(=C)C(=O)OO[N+](=O)[O-]
160122,C([C@H]([C@@H](C(=O)C=O)O)O)O
160492,COC(=O)C1=CCCNC1
162070,CCC(C)COC(=O)C=C
162082,C1=CC(=O)[C@@]([C@H]1O)(CO)O
162409,COC(=O)C=C1CCCC1
162566,CCCCCC=C(C)C=O
162832,CN1CC=CC=C1C=NO
164841,C1CC23C=CC=CC2(C1)O3
164848,C1=C(C(=O)C=C(C1=O)N)N
165738,CC(C)CC=C(C)C(=O)O
166830,C1(C(NC(=O)N=C1N)O)O
168878,CC(=CC=CO)C(C)(C)C
169253,CC1=C(C(=O)CC1)C(C)C
170404,C=C1C=NC2=CC=CC=C12
171120,CC1=C[C@H]([C@@H]2[C@H](C1=O)O2)O
172944,CCCC(=CC=C)C(=O)O
173198,C=C([C@@H](C(=O)O)N)C(=O)O
173685,C1[C@@H](C=CC=C1C(=O)O)N
174209,CC(CC=C)C=C(C)C=O
176617,COC(=O)C1=NCCCS1
176983,CC1=CC=C(CC1)C(=C)C
177010,C1CC(=O)OC1=CC(=O)O
181106,CCCCCCC(=O)C=C
182780,CC(=CC=O)CO[N+](=O)[O-]
185097,C1=NC2=NC=NC(=S)C2=N1
185804,C(C(=O)O)NC(=O)C=[N+]=[N-]
187340,C=CC(=O)NCOCCO
187666,CC1=C(CCCC1)C(=O)C
189033,CC1(C(=NC(=N)N1[O])N)C
189249,C(=CC(=O)O)C(=O)C=CO
189764,C1C=CC(=CC1N)C(=O)O
191028,COC(=CC(=O)O)C(=O)O
191109,C1=CC=C2C(=C1)C=NC2=O
192781,C([C@H](CO)O)C(=O)C(=O)O
192831,CCOC(=O)C=CC(=O)C
192942,CN1C=CCC(=C1)C(=O)N
193412,C=C1CC1CC(=O)C(=O)O
193416,C(=CC(=O)O)C(=O)C(=O)O
193438,C(C(CO)O)C(=O)C(=O)O
